Funder: Organisation Name,Managed by: Organisation Name,Grant Programme:Code,Grant Programme:Title,Description,FY value,Start Date,End Date,Allocation method,Duration (Months),COFOG: Sector type,Authority Act: Authority Act Name
"Department for Environment, Food and Rural Affairs",Rural Payments Agency,G2-SCH-2021-11-9445,RPA Countryside Stewardship,"The main priority for Countryside Stewardship is to protect and enhance the natural environment, in particular: increased biodiversity; improved habitat and expanded woodland areas; improved water quality; improved air quality. Other outcomes supported are: protection against flooding and coastal erosion; maintaining the historic environment; improved landscape character; climate change adaptation and mitigation. Countryside Stewardship supports Defras 25 Year Environment Plan for our country to be the healthiest, most beautiful place in the world to live, work and bring up a family. It also supports Defras Strategic Objective of a cleaner, healthier environment, benefitting people and the economy. Countryside Stewardship gives incentives for land managers to look after the environment and is made up of the following elements: Higher Tier agreements for land that requires more complex management tailored to the individual site and now includes woodland maintenance; Mid Tier agreements that provide a range of options and capital items that together help to deliver a broad range of environmental benefits; four Wildlife Offers that provide a simpler set of options to help improve the wildlife on farms; Capital Grants that provide grants for boundaries, trees and orchards, water quality and air quality; Woodland Management Plan grant to help create a UK Forestry Standard (UKFS) compliant 10-year woodland management plan; Woodland Tree Health grant to help restore and improve tree health; Facilitation Fund which supports individuals who bring together groups of farmers, foresters and land managers to improve the environmental outcomes in their area; Protection and Infrastructure grant which provides grants for woodland infrastructure.",268377765.40,2022-04-01,2026-03-31,General Grant - Competed,48,Environmental protection,Environment Act 1995
"Department for Environment, Food and Rural Affairs",Natural England,G2-SCH-2021-11-9449,Natural England - Heritage Management Plan Grants,Annually awarded Competed grants of up to 50% awarded to a closed group of applicants whose property has been designated by HMRC under inheritance tax exemption. The production of a heritage management plan assists NE to fulfil it's statutory duty.,55000.00,2020-04-01,2024-03-31,General Grant - Criteria Based,48,Environmental protection,Natural Environment and Rural Communities Act 2006
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2021-11-9454,Canal and River Trust Grant,"Transport Act 1968: 43A.Grants to Canal & River Trust The Minister or any other Minister of the Crown may, with the approval of the Treasury, from time to time make grants to Canal & River Trust.
The grant consists of a core grant amounting to £800m (£39m p.a. plus inflation) and a conditional grant (£10m p.a.).",52622993.65,2012-04-01,2027-03-31,General Grant - Mixed,180,Environmental protection,Transport Act 1968
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",G2-SCH-2021-11-9467,Social Housing Decarbonisation Main Fund,"To fund social decarbonisation

Waiting for additional information",3200583.49,2021-04-01,2031-03-31,General Grant - Competed,120,Environmental protection,Environment Act 1995
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2021-11-9474,Darwin Main R26 2020-2024,"The Darwin Initiative is a UK government grants scheme that helps to protect biodiversity and the natural environment in developing countries and, through the Darwin Plus fund, UK Overseas Territories (OTs).
Darwin-funded projects usually aim to help preserve biodiversity and the local community that lives alongside it. Most projects will include one or more of:
 building environmental knowledge
 capacity building
 research
 implementing international biodiversity agreements",1673987.30,2020-04-01,2025-03-31,General Grant - Competed,60,Environmental protection,Environmental Protection Act 1990
Department of Health and Social Care,UK Health Security Agency,G2-SCH-2021-11-9479,TTSP_Test and Trace Support Payments_21/22_Q4_JanFebMar22_extension,The purpose of the grant is to provide support to local authorities in England towards expenditure lawfully incurred or to be incurred in relation to the delivery of the Test and Trace Support Payment scheme. The scheme aims to support people on low incomes who have been directed to self-isolate who are unable to work from home and will lose income as a result.,40864197.47,2022-04-01,2023-03-31,Formula Grant,12,Health,Local Government Act 2003
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2021-11-9488,Botulinum Toxin and Cosmetic Fillers (Children) Act 2021,Support to LAs for implementing the Botulinum Toxin and Cosmetic Fillers (Children) Act 2021,1465699.00,2021-04-01,2023-03-31,Formula Grant,24,Health,Local Government Act 2003
"Department for Business, Energy and Industrial Strategy",Ofgem,G2-SCH-2021-11-9498,Boiler Upgrade Scheme,To deliver clean heat to households and businesses.,50999000.00,2022-04-01,2028-03-31,General Grant - Criteria Based,72,Housing and community amenities,Energy Act 2013
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2021-11-9500,PHG Public Health Ring-fenced Grant 22/23,"The purpose of the grant is to provide local authorities in England with the funding required to discharge the public health functions, and will be ring-fenced. The grant can be used for both revenue and capital purposes.",3417400000.00,2022-04-01,2023-03-31,Formula Grant,12,Health,Local Government Act 2003
Home Office,Home Office,G2-SCH-2021-11-9519,Missing People Support Services Funding,"The purpose of this funding is to assist the charity to meet the costs associated with a significant rise in demand for their services during this financial year, generated from the increased number of referrals received from the police. 
This Grant will support the following services: 
- targeted publicity services to find missing children and adults
- running thE TextSafe® service to reach out, support and safeguard vulnerable missing adults & children",187813.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,General public services,"Domestic Violence, Crime and Victims Act 2004"
Home Office,Home Office,G2-SCH-2021-11-9522,Football Supporters Association Fans Embassies,"This grant will enable the Football Supporters Association (FSA) to deliver their fans embassy information and advice service to travelling England and Wales fans at overseas matches and tournaments.

Its key objectives are reducing the likelihood of travelling England and Wales fans involvement in football-related disorder overseas or of being a victim of crime.",115000.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,General public services,Criminal Justice and Public Order Act 1994
Home Office,Home Office,G2-SCH-2021-11-9524,Provision for the UK Disaster Victim Identification Capability,"UK Disaster Victim Identification Team contributing aim: Following a major emergency  will provide an appropriate, effective and professional response to a mass fatality incident in the United Kingdom; or when requested by HM Government overseas. This response will include a range of appropriately trained police officers and civilian forensic experts to supplement local response options.

(1) To respond to and identify the victims of conventional incidents and civil emergencies in the UK;
(2) To respond to and identify the victims of CBRN incidents in the UK; and
(3) If requested; to assist with the identification of British Nationals affected by overseas incidents and emergencies  agreement will be reached between the country affected and the Foreign and Commonwealth Office before the UK DVI team deploys. 

To reduce the risk to the UK and its interests overseas from international terrorism, so that people can go about their lives freely and with confidence; mitigating the impact of a terrorist attack where it cannot be stopped, including work to manage an ongoing attack and to recover from its aftermath.",340000.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,General public services,Charities Act 2006
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2021-11-9527,Standing Together Against Domestic Abuse 20/21,"To support the delivery of the Domestic Abuse Best Practice Framework (endorsed by the NPCC, CPS and the HM Courts & Tribunal Service), two SDAC Mentor Courts will be established (in London and outside London) to accelerate progress in partnerships and to understand and implement the SDAC resource manual.  This project will fund both IDVAs and Coordination in the Mentor Court areas to support the CJS response and embed the SDAC model. This will also support a national mapping and capacity building exercise to enable the SDAC model to roll out across the country.",476961.00,2020-04-01,2023-03-31,General Grant - Uncompeted,36,General public services,Charities Act 2006
Home Office,Home Office,G2-SCH-2021-12-9532,DAC Office Research on Victims and Survivors of Domestic Abuse with NRPF,"The project will provide an accurate estimate of the number of migrant victims and survivors of domestic abuse with No Recourse to Public Funds (NRPF) in the UK, as well as an estimate of the potential cost to extend support to those within this group who need it. The overarching aim is to support the Domestic Abuse Commissioners priority to improve the provision of support for non-British national victims and survivors of domestic abuse. The potential provider will be required to provide a policy report containing the research findings and recommendations for government to deliver the support needed for victims and survivors with NRPF. The potential provider is expected to be ready and able to commence delivery of the stated outcomes on 01 October 2021. This research will be delivered in June 2022 with key findings fed into the Domestic Abuse Commissioners Office (DAC Office) throughout the process.",30469.00,2021-04-01,2023-03-31,General Grant - Competed,24,General public services,"Domestic Violence, Crime and Victims Act 2004"
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2021-12-9548,Create Growth Programme,"To provide regions with capital, skills and business support to take high growth creative businesses from start-up to scale-up. By addressing critical gaps in pan-economy support, it will drive innovation and levelling-up by ensuring creative industries clusters can become regional engines of growth.",2637500.00,2022-04-01,2025-03-31,General Grant - Competed,36,"Recreation, culture and religion",Local Government Act 2003
Department for Education,Office for Students,G2-SCH-2021-12-9555,JISC recurrent,Fund JISC-providing digital technology to support the sector.,1733200.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Education,Higher Education and Research Act 2017
Ministry of Justice,Ministry of Justice,G2-SCH-2021-12-9559,National Rape Helpline/Website,"To provide support services to victims of rape and other forms of sexual violence, including men and  victims of child sexual abuse.",631132.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,General public services,"Domestic Violence, Crime and Victims Act 2004"
Ministry of Justice,Ministry of Justice,G2-SCH-2021-12-9560,24/7 Rape Victim Support,"To introduce a 24/7 national rape support service to rationalise the complex landscape of existing sexual violence support services by acting as a central hub that can offer immediate advice to users, and then triage down to other more focused support services.",1638216.50,2022-04-01,2025-03-31,General Grant - Competed,36,General public services,"Domestic Violence, Crime and Victims Act 2004"
Department for Work and Pensions,Department for Work and Pensions,G2-SCH-2021-12-9561,LOCAL SUPPORTED EMPLOYMENT (LSE),"Provide Special supported employment program for people with learning disabilities, or autism via local authorities",1358630.09,2022-04-01,2025-03-31,General Grant - Competed,36,,Employment and Training Act 1973
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2021-12-9575,ASC Trailblazer,"Our charging reform implementation plan includes ~6 trailblazer Local Authorities that will go live (introduction of the cap on care cost) and more generous means test earlier than other LA areas.

(Funding Yr1 22/23 DHSC £8m: Funding Yrs 2 & 3 DLUHC £141m split 8:70:70)",2932362.00,2022-04-01,2023-03-31,Formula Grant,12,Health,Local Government Act 2003
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2021-12-9576,Youth Investment Fund - Phase 2,"The YIFs spending objective is to increase and improve the effectiveness of youth facilities and services to drive better youth outcomes; improved health and wellbeing, equipped with skills for work and life and empowered to be active members of their communities and society.",82226150.00,2022-04-01,2025-03-31,General Grant - Competed,36,Housing and community amenities,Charities Act 2006
Ministry of Defence,Ministry of Defence,G2-SCH-2021-03-0003,Veterans' Health & Well Being Fund,"To support Veterans needs through activities and opportunities, and to support and mentor the organisations delivering these services.

Note: Scheme closed. £299,950 of Funds returned and recycled in FY22-23",299950.00,2019-04-01,2023-03-31,General Grant - Competed,48,"Recreation, culture and religion",Appropriation Act
"Department for Digital, Culture, Media & Sport",Visit Britain and Visit England,G2-SCH-2021-03-0004,ALB - VisitBritain - Business Events Growth Programme 2020/24,"VisitBritain has been tasked by government to promote business event tourism through establishment of an Event Support Programme for winning international events, and developing and internationalising growth events already in Britain",292529.06,2020-04-01,2024-03-31,General Grant - Competed,48,Economics affairs,Development of Tourism Act 1969
Ministry of Defence,Ministry of Defence,G2-SCH-2021-03-0010,University Defence Research Collaboration in Signal Processing,ACOUSTIC SIGNAL AND INFORMATION PROCESSING IN THE UNDERWATER ENVIRONMENT,272834.00,2020-04-01,2023-03-31,General Grant - Uncompeted,36,Defence,Appropriation Act
"Department for Digital, Culture, Media & Sport",National Heritage Memorial Fund,G2-SCH-2021-03-0017,Culture Recovery Fund for Heritage,"The Culture Recovery Fund for Heritage will support organisations across the heritage ecosystem that were financially sustainable before COVID-19, have exhausted all other financing options, and are now at risk of failure.

Some of the awards in this Scheme are jointly funded by the UK Exchequer and the National Lottery Heritage Fund.",6316924.25,2020-04-01,2024-03-31,General Grant - Criteria Based,48,"Recreation, culture and religion",National Heritage Act 1983
Department for International Trade,Department for International Trade,G2-SCH-2021-03-0026,"THE OVERSEAS TECH ENTREPRENEUR NETWORK IN ASIA PACIFIC, PART OF THE APAC DIGITAL TRADE NETWORK","The primary objective of the DTN Entrepreneur Network is to provide a service for UK Digital tech companies expanding into the Asia Pacific region which will deliver an outcome of accelerating their access to capital, customers and talent leading to greater success and faster scale.
The secondary objectives are to raise awareness of the UK tech ecosystem and its regional centres to Asia Pacific tech companies planning to establish partnerships or operations in the UK, to offer a matchmaking service for Asia Pacific investors looking to invest in UK tech companies, and to attract tech talent to the UK.",1500000.00,2020-04-01,2023-03-31,General Grant - Mixed,36,General public services,Industrial Development Act 1982
Home Office,Home Office,G2-SCH-2021-03-0094,United Nations High Commisioner for Refugees (UNHCR),"Quality Integration
The Home Office have endeavoured to implement UNHCR recommendations through, inter alia, improvements to training, Asylum Instructions and refugee status determination procedures.

Resettlement
The aims and the objectives are to Increase the number of staff in specific locations to deal with resettlement cases",361500.00,2020-04-01,2025-03-31,General Grant - Uncompeted,60,General public services,"Nationality, Immigration & Asylum Act 2002"
Department for Education,Department for Education,G2-SCH-2021-03-0118,Regional Adoption Agency grant,"Grants with local authorities to develop Regional Adoption Agencies. In June 2015, the Department published the position paper: Regionalising Adoption. The paper asked for LAs and voluntary adoption agencies (VAAs) to submit expressions of interest in creating an RAA (Regional Adoption Agency). RAAs involve multiple LAs/VAAs combining adoption services. In these scenarios, one authority will act as the accountable body, which also receives the payments for that RAA. Grant claims are submitted quarterly. The Department led an assessment process resulting in the funding of 19 RAA projects. The selected projects were funded at different rates, proportional to their standard of readiness for progress, and the number of looked after children living in the local authority areas. The first funding period ran from September 2015 to March 2016. All decisions were made subject to Ministerial approval. After assessment of transition plans, the Department allocated funding to all 19 projects and communicated the ongoing intention to fund all projects to go-live date, subject to satisfactory progress.",2985265.15,2019-04-01,2023-03-31,General Grant - Uncompeted,48,General public services,Education and Adoption Act 2016
Department for Education,Department for Education,G2-SCH-2021-03-0119,Extended Personal Adviser Duty (EPAD) Implementation Grant,New Burdens funding to support the implementation of the extended duty.,12118084.00,2019-04-01,2025-03-31,Formula Grant,72,General public services,Local Government Act 2003
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0123,Teachers' Pay Grant,To help schools to fund the 2018-19 teacher pay increase not accounted for in their main funding.,30830390.00,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0125,Teacher Pension Employer Contribution Grant,To support schools to fund the increase in the employer contribution to the Teachers Pension Scheme.,279460595.82,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0126,Maths Centres for Excellence,The Centres for Excellence in Maths programme aims to improve FE maths GCSE teacher capacity and capability.  Grant funding is available to FE Colleges and Sixth Forms for this purpose.,4822556.48,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0128,"School Improvement, Monitoring and Brokering Grant",To support local authorities in their statutory duties for school improvement.,20358904.00,2019-04-01,2023-03-31,Formula Grant,48,Education,Local Government Act 2003
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0135,World Skills UK,"The DfE's aims for 2022-23 are for: WSUK to benchmark England's technical and vocational education system against international standards of occupational excellence through its membership to WorldSkills International; WSUK to utilise the high-profile nature of national and international competitions to support encouraging a pipeline of young people wanting to take up careers in sectors fundamental to support the economic recovery from the pandemic; WSUK to continue to support Increasing the prestige of, and participation in, Technical and Vocational Education and Training (TVET) amongst young people and adults. This includes providing young people with opportunity to see career opportunities through TVET, strengthening programmes and qualifications studied, including benchmarking them against the WorldSkills standards, and improving performance and quality of the FE workforce in TVET teaching and training, particularly by improving the quality of teaching and training practice in training providers delivering TVET.",7200001.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0136,Apprenticeships Participation 18+,To fund the provision of apprenticeship training.,679109363.05,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,"Apprenticeships, Skills, Children and Learning Act 2009"
Department for Education,Department for Education,G2-SCH-2021-03-0137,Apprenticeships Participation 16 - 18,To fund the provision of apprenticeship training.,689190882.68,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,"Apprenticeships, Skills, Children and Learning Act 2009"
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0138,16-19 Education,To fund 16-19 further education and support.,4897692182.50,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0139,Universal Infant free School Meal (UIFSM) funding,Funding to support the entitlement to a school lunch for all infant pupils.,344501682.39,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0140,Dedicated Schools Grant (DSG),"The main funding for schools, high needs and early years education.",29173024421.09,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0141,Primary PE and Sport Premium,Funding to support additional PE and sport activities in primary schools.,324525234.15,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0142,"General Annual Grant (GAG) - allocations are nett of Pupil Number Adjustment (PNA), Risk Protection Agreement (RPA) etc.",Main monthly revenue funding for academies.,26891980800.10,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0143,Adult Education Budget,To fund 19+ further education and support.,498243631.52,2019-04-01,2023-03-31,Formula Grant,48,Education,"Apprenticeships, Skills, Children and Learning Act 2009"
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0144,Pupil Premium,Funding to improve the attainment of disadvantaged pupils and pastoral support for children of service families.,2684485689.50,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0145,Academies Deficit Funding,This funding is used to support academies in financial difficulties to reach a financially viable position.,8827908.00,2019-04-01,2023-03-31,General Grant - Criteria Based,48,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2021-03-0147,Academies Pre 16 Additional Academy Programme Costs,"This is a demand-led programme budget, made up of budgets as follows: Funding for Exceptional costs (EAG), Admissions Appeals, Short Term Cash Advances and Recoveries.
Exceptional costs funding is considered where funding is for costs that are not met by other budgets i.e., TUPE or Deficit Funding;
Reimbursement of Admissions Appeals for costs incurred by academies over and above 20 appeals;
Short term advances for short term cash flow issues (repayable within 12 months);
Requests for funding against this budget are subject to business cases.",5516469.48,2019-04-01,2023-03-31,General Grant - Criteria Based,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0149,Selective Schools Expansion,Capital funding to expand selective schools that demonstrate that they want to attract more disadvantaged pupils.,1874640.45,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0151,School Condition Allocation - Local Authority Recipients,Capital funding for schools condition improvements paid to bodies responsible for individual schools - Local Authorities.,504007852.46,2019-04-01,2023-03-31,Formula Grant,48,Education,Local Government Act 2003
Department for Education,Department for Education,G2-SCH-2021-03-0156,Strategic School Improvement Capital,Capital funding to improve the condition of schools most in need of improvements to school performance & pupil attainment; mainly for academies.,30147896.02,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0157,Condition Improvement Fund Academies,"Capital funding for schools condition improvements paid to bodies responsible for individual schools - SATs, small MATs and sixth form colleges.",483644482.46,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0158,School Condition Allocation - Voluntary Aided Sector Recipients,Capital funding for schools condition improvements paid to bodies responsible for individual schools - Voluntary Aided sector & dioceses.,128956073.85,2019-04-01,2023-03-31,Formula Grant,48,Education,Schools Standards and Framework Act 1998
Department for Education,Department for Education,G2-SCH-2021-03-0159,Secure Accommodation,Capital funding to improve the condition of buildings in the Secure Children's Home sector (including LAs & charities).,14600333.91,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0160,Devolved Formula Capital - Local Authority & Voluntary Aided Sector Recipients,"Capital funding for schools condition improvements paid directly to individual schools - Local Authorities, Voluntary Aided sector & dioceses.",303006758.86,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0161,Basic Need Schools,Capital funding for Local Authorities to provide additional school places for primary & secondary schools.,534823940.66,2019-04-01,2023-03-31,Formula Grant,48,Education,Local Government Act 2003
Department for Education,Department for Education,G2-SCH-2021-03-0162,Priority School Building Programme,"Capital funding to improve the condition of schools in the most urgent need of repair. Improvements are delivered either by DfE on behalf of Local Authorities, or by Local Authorities directly .",54218.38,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0163,School Condition Allocation - Independent Specialist Providers,"Capital funding for schools condition improvements paid to bodies responsible for individual schools - Independent Specialist Providers (ISPs), who provide education support for young people with learning difficulties and/or disabilities, who are over compulsory school age but under 25.",4286957.78,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0164,School Condition Allocation - Non-Maintained Special School Recipients,Capital funding for schools condition improvements paid to bodies responsible for individual schools - Non-maintained Special Schools (mainly charities).,2969535.01,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0165,School Condition Allocation - Multi-Academy Trust Recipients,Capital funding for schools condition improvements paid to bodies responsible for individual schools - Larger MATs.,456061149.60,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0168,Devolved Formula Capital - Academies Recipients,Capital funding for schools condition improvements paid directly to individual schools - Academy Trusts.,355065993.01,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0169,Devolved Formula Capital - Non-Maintained Special Schools Recipients,Capital funding for schools condition improvements paid directly to individual schools - Non-maintained Special Schools (mainly charities).,3792140.29,2019-04-01,2023-03-31,Formula Grant,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0171,Priority School Building Programme - Private Finance Local Authority & Voluntary Aided School Revenue Grant,Revenue funding for private sector organisations as part of Public Private Partnership to maintain the condition of selected repaired schools.,751886228.84,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0173,Institutes of Technology,"Revenue funding for Institutes of Technology (IoTs). IoTs are a collaboration of further education, universities & employers to deliver higher technical education, mainly STEM.",30715485.12,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0176,Estates Efficiency,"Capital funding to support Efficient Estate projects, to reconfigure their sites through an ""invest-to-save"" approach, enabling those schools to run more effectively and efficiently and generate savings and/or capital receipts.",840375.97,2019-04-01,2023-03-31,General Grant - Criteria Based,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0177,T - Level Capital,"Capital funding to improve facilities for the delivery of T-Levels, for specialist equipment and/or improving builds and facilities.",43581838.49,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0178,Free Schools Capital,Capital funding for the building of new Free Schools by DfE on behalf of Academy Trusts.,33149456.37,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0180,Priority School Building Programme 2,"Capital funding to improve the condition of schools in the most urgent need of repair. Improvements are delivered either by DfE on behalf of Local Authorities, or by Local Authorities directly.",9493242.74,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0182,Maths Hubs Programme,"Delivery of 40 Maths Hub networks across England which, through a school-led model, aim to harness maths leadership and expertise within an area to develop and spread excellent practice, for the benefit of all students. Maths Hubs are responsible for delivering the Teaching for Mastery programme which promotes a pedagogical method of teaching mathematics based on teaching methods seen within top performing international jurisdictions for maths attainment.",22690490.50,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0183,English Hubs Programme,"The grants are awarded to schools to maintain 34 English Hubs across England that support other schools to deliver excellent teaching in early language and reading in Reception and Key Stage 1, including age-appropriate Systematic Synthetic Phonics (SSP), developing a love of reading and early language development.",15930310.29,2019-04-01,2026-03-31,General Grant - Competed,84,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0185,Mental Health And Bullying,"We provided funding to three anti-bullying organisations to support schools to tackle bullying. This includes projects targeting bullying of particular groups such as those with SEND and those who are victims of hate related to bullying, all the projects also cover online bullying.",1166805.27,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0186,Inclusion,"This programme will drive quality and accessibility of opportunities for SEND pupils to participate, engage and learn through PE and School Sport (PESS). This programme will work to reimagine the role PESS can play for pupils with SEND, reconnect pupils following the negative impact of COVID, and support active recovery of pupils increasing physical health and social wellbeing.",297035.59,2019-04-01,2024-03-31,General Grant - Competed,60,Education,Education Act 2011
Department for Education,Department for Education,G2-SCH-2021-03-0188,EYC VCS Grants,"Priority 1: Closing the Disadvantage Gap at age 5 to increase awareness of the home learning environment, of existing entitlements for disadvantaged families, and support to school and childminder partnership. 
Priority 2: Early Years Special Educational Needs and Disabilities (EYSEND) to support parents, the workforce and local authorities to identify and support early-years children with SEND.",2471208.53,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Children and Families Act 2014
Department for Education,Department for Education,G2-SCH-2021-03-0189,Music And Dance Scheme,To assist eligible children to access world-class training and education in music and dance.,31654463.26,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0190,Music Education Hubs,To provide access to high quality music opportunities for 5-18 year-olds.,79074614.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0191,Bridge Network,To create networks and partnerships to improve access to the arts.,615000.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0192,Lessons From Auschwitz Programme,To provide the opportunity for two post-16 students from every state-funded school in England to visit the Nazi concentration and death camp Auschwitz-Birkenau as part of a four-part educational programme.,1604817.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0196,Early Years Initial Teacher Training,"Provide financial incentives in order to recruit trainees to Early Years courses (Graduate Entry and Graduate Employment Based), which lead to Early Years Teachers Status (EYTS).  Also used to fund marketing activity to promote recruitment to EYTS courses.",6049068.65,2019-04-01,2023-03-31,General Grant - Criteria Based,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0210,Transport,DfE pays this grant to local authorities as a contribution towards the cost of home-to-school travel for eligible children from low-income families.,43310900.00,2019-04-01,2024-03-31,Formula Grant,60,Education,Education and Inspections Act 2006
Department for Education,Department for Education,G2-SCH-2021-03-0212,Academy Transfers,Contribution towards the costs for supporting the transfer of open academies to new sponsors/trusts.,1690128.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0213,Environmental Improvement Grant,"Contribution towards the costs of 'Light capital works' , intended to have an immediate impact on pupil learning spaces for underperforming schools that are becoming an academy for the first time, or open academies transferring to new sponsors/trusts and to make a visual statement that the 'old school' has become an academy.",1440000.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0215,Free Schools Project Development Grants,To cover the pre-opening revenue activities of new schools.,6013042.00,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0216,Emergency School Improvement Fund,Supports academies and maintained schools to address unexpected or imminent failure.,1591650.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
